starttime	seconds	ctime	dtime	ttime	wait
Tue Aug 20 12:05:51 2019	1566295551	0	11	11	10
Tue Aug 20 12:05:50 2019	1566295550	0	11	11	10
Tue Aug 20 12:05:49 2019	1566295549	0	11	11	10
Tue Aug 20 12:05:58 2019	1566295558	0	11	11	10
Tue Aug 20 12:05:51 2019	1566295551	0	11	11	10
Tue Aug 20 12:05:57 2019	1566295557	0	11	11	11
Tue Aug 20 12:05:50 2019	1566295550	0	11	11	11
Tue Aug 20 12:05:54 2019	1566295554	0	11	11	10
Tue Aug 20 12:06:00 2019	1566295560	0	11	11	10
Tue Aug 20 12:05:45 2019	1566295545	0	11	11	10
Tue Aug 20 12:06:01 2019	1566295561	0	11	11	10
Tue Aug 20 12:06:06 2019	1566295566	0	11	11	10
Tue Aug 20 12:06:03 2019	1566295563	0	11	11	10
Tue Aug 20 12:05:57 2019	1566295557	0	11	11	10
Tue Aug 20 12:05:48 2019	1566295548	0	11	11	11
Tue Aug 20 12:06:00 2019	1566295560	0	11	11	10
Tue Aug 20 12:05:54 2019	1566295554	0	11	11	10
Tue Aug 20 12:05:52 2019	1566295552	0	11	11	10
Tue Aug 20 12:05:54 2019	1566295554	0	11	11	10
Tue Aug 20 12:06:05 2019	1566295565	0	11	11	11
Tue Aug 20 12:05:50 2019	1566295550	0	11	11	10
Tue Aug 20 12:06:03 2019	1566295563	0	11	11	10
Tue Aug 20 12:05:45 2019	1566295545	0	11	11	10
Tue Aug 20 12:05:53 2019	1566295553	0	11	11	10
Tue Aug 20 12:05:44 2019	1566295544	0	11	11	11
Tue Aug 20 12:05:45 2019	1566295545	0	11	11	10
Tue Aug 20 12:06:03 2019	1566295563	0	11	11	10
Tue Aug 20 12:06:04 2019	1566295564	0	11	11	11
Tue Aug 20 12:05:43 2019	1566295543	0	11	11	10
Tue Aug 20 12:06:03 2019	1566295563	0	11	11	10
Tue Aug 20 12:05:58 2019	1566295558	0	11	11	11
Tue Aug 20 12:05:46 2019	1566295546	0	11	11	11
Tue Aug 20 12:06:09 2019	1566295569	0	11	11	11
Tue Aug 20 12:05:59 2019	1566295559	0	11	11	11
Tue Aug 20 12:05:57 2019	1566295557	0	11	11	10
Tue Aug 20 12:05:53 2019	1566295553	0	11	11	10
Tue Aug 20 12:06:11 2019	1566295571	0	11	11	10
Tue Aug 20 12:05:44 2019	1566295544	0	11	11	10
Tue Aug 20 12:05:51 2019	1566295551	0	11	11	11
Tue Aug 20 12:05:50 2019	1566295550	0	11	11	11
Tue Aug 20 12:06:02 2019	1566295562	0	11	11	11
Tue Aug 20 12:05:43 2019	1566295543	0	11	11	10
Tue Aug 20 12:06:02 2019	1566295562	0	11	11	10
Tue Aug 20 12:05:48 2019	1566295548	0	11	11	10
Tue Aug 20 12:06:05 2019	1566295565	0	11	11	10
Tue Aug 20 12:06:03 2019	1566295563	0	11	11	11
Tue Aug 20 12:05:51 2019	1566295551	0	11	11	10
Tue Aug 20 12:05:43 2019	1566295543	0	11	11	10
Tue Aug 20 12:06:02 2019	1566295562	0	11	11	10
Tue Aug 20 12:05:54 2019	1566295554	0	11	11	11
Tue Aug 20 12:05:46 2019	1566295546	0	11	11	11
Tue Aug 20 12:05:48 2019	1566295548	0	11	11	10
Tue Aug 20 12:05:49 2019	1566295549	0	11	11	11
Tue Aug 20 12:06:02 2019	1566295562	0	11	11	11
Tue Aug 20 12:06:04 2019	1566295564	0	11	11	11
Tue Aug 20 12:05:53 2019	1566295553	0	11	11	10
Tue Aug 20 12:06:10 2019	1566295570	0	11	11	10
Tue Aug 20 12:06:11 2019	1566295571	0	11	11	11
Tue Aug 20 12:05:51 2019	1566295551	0	11	11	10
Tue Aug 20 12:06:05 2019	1566295565	0	11	11	10
Tue Aug 20 12:06:06 2019	1566295566	0	11	11	10
Tue Aug 20 12:06:08 2019	1566295568	0	11	11	11
Tue Aug 20 12:05:54 2019	1566295554	0	11	11	10
Tue Aug 20 12:06:03 2019	1566295563	0	11	11	10
Tue Aug 20 12:05:47 2019	1566295547	0	11	11	10
Tue Aug 20 12:06:10 2019	1566295570	0	11	11	11
Tue Aug 20 12:06:06 2019	1566295566	0	11	11	10
Tue Aug 20 12:05:55 2019	1566295555	0	11	11	11
Tue Aug 20 12:05:47 2019	1566295547	0	11	11	10
Tue Aug 20 12:05:52 2019	1566295552	0	11	11	10
Tue Aug 20 12:05:44 2019	1566295544	0	11	11	10
Tue Aug 20 12:05:45 2019	1566295545	0	11	11	10
Tue Aug 20 12:05:50 2019	1566295550	0	11	11	11
Tue Aug 20 12:05:51 2019	1566295551	0	11	11	11
Tue Aug 20 12:05:55 2019	1566295555	0	11	11	11
Tue Aug 20 12:05:58 2019	1566295558	0	11	11	10
Tue Aug 20 12:05:51 2019	1566295551	0	11	11	10
Tue Aug 20 12:06:01 2019	1566295561	0	11	11	10
Tue Aug 20 12:05:51 2019	1566295551	0	11	11	10
Tue Aug 20 12:06:01 2019	1566295561	0	11	11	11
Tue Aug 20 12:06:10 2019	1566295570	0	11	11	11
Tue Aug 20 12:06:03 2019	1566295563	0	11	11	11
Tue Aug 20 12:05:51 2019	1566295551	0	11	11	10
Tue Aug 20 12:05:54 2019	1566295554	0	11	11	11
Tue Aug 20 12:05:44 2019	1566295544	0	11	11	11
Tue Aug 20 12:05:57 2019	1566295557	0	11	11	11
Tue Aug 20 12:06:10 2019	1566295570	0	11	11	10
Tue Aug 20 12:05:46 2019	1566295546	0	11	11	11
Tue Aug 20 12:05:58 2019	1566295558	0	11	11	11
Tue Aug 20 12:05:56 2019	1566295556	0	11	11	11
Tue Aug 20 12:06:02 2019	1566295562	0	11	11	11
Tue Aug 20 12:06:08 2019	1566295568	0	11	11	10
Tue Aug 20 12:05:53 2019	1566295553	0	11	11	10
Tue Aug 20 12:05:52 2019	1566295552	0	11	11	11
Tue Aug 20 12:05:52 2019	1566295552	0	11	11	10
Tue Aug 20 12:05:57 2019	1566295557	0	11	11	10
Tue Aug 20 12:05:43 2019	1566295543	0	11	11	11
Tue Aug 20 12:05:57 2019	1566295557	0	11	11	11
Tue Aug 20 12:05:45 2019	1566295545	0	11	11	10
Tue Aug 20 12:06:10 2019	1566295570	0	11	11	11
Tue Aug 20 12:06:11 2019	1566295571	0	11	11	10
Tue Aug 20 12:05:56 2019	1566295556	0	11	11	10
Tue Aug 20 12:05:46 2019	1566295546	0	11	11	11
Tue Aug 20 12:06:01 2019	1566295561	0	11	11	10
Tue Aug 20 12:06:07 2019	1566295567	0	11	11	10
Tue Aug 20 12:06:02 2019	1566295562	0	11	11	10
Tue Aug 20 12:05:52 2019	1566295552	0	11	11	11
Tue Aug 20 12:05:53 2019	1566295553	0	11	11	10
Tue Aug 20 12:05:51 2019	1566295551	0	11	11	11
Tue Aug 20 12:05:44 2019	1566295544	0	11	11	11
Tue Aug 20 12:05:50 2019	1566295550	0	11	11	11
Tue Aug 20 12:06:10 2019	1566295570	0	11	11	11
Tue Aug 20 12:06:01 2019	1566295561	0	11	11	10
Tue Aug 20 12:06:02 2019	1566295562	0	11	11	10
Tue Aug 20 12:06:00 2019	1566295560	0	11	11	11
Tue Aug 20 12:06:02 2019	1566295562	0	11	11	11
Tue Aug 20 12:05:55 2019	1566295555	0	11	11	10
Tue Aug 20 12:05:58 2019	1566295558	0	11	11	10
Tue Aug 20 12:06:03 2019	1566295563	0	11	11	10
Tue Aug 20 12:05:45 2019	1566295545	0	11	11	10
Tue Aug 20 12:06:04 2019	1566295564	0	11	11	11
Tue Aug 20 12:06:07 2019	1566295567	0	11	11	11
Tue Aug 20 12:06:10 2019	1566295570	0	11	11	11
Tue Aug 20 12:06:02 2019	1566295562	0	11	11	10
Tue Aug 20 12:06:01 2019	1566295561	0	11	11	11
Tue Aug 20 12:05:50 2019	1566295550	0	11	11	11
Tue Aug 20 12:05:53 2019	1566295553	0	11	11	11
Tue Aug 20 12:05:55 2019	1566295555	0	11	11	11
Tue Aug 20 12:05:49 2019	1566295549	0	11	11	11
Tue Aug 20 12:05:56 2019	1566295556	0	11	11	11
Tue Aug 20 12:06:04 2019	1566295564	0	11	11	10
Tue Aug 20 12:05:47 2019	1566295547	0	11	11	10
Tue Aug 20 12:05:47 2019	1566295547	0	11	11	11
Tue Aug 20 12:05:59 2019	1566295559	0	11	11	10
Tue Aug 20 12:05:45 2019	1566295545	0	11	11	11
Tue Aug 20 12:06:00 2019	1566295560	0	11	11	11
Tue Aug 20 12:05:55 2019	1566295555	0	11	11	11
Tue Aug 20 12:06:11 2019	1566295571	0	11	11	11
Tue Aug 20 12:05:58 2019	1566295558	0	11	11	10
Tue Aug 20 12:05:56 2019	1566295556	0	11	11	11
Tue Aug 20 12:06:06 2019	1566295566	0	11	11	11
Tue Aug 20 12:05:57 2019	1566295557	0	11	11	11
Tue Aug 20 12:06:00 2019	1566295560	0	11	11	11
Tue Aug 20 12:06:12 2019	1566295572	0	11	11	10
Tue Aug 20 12:05:51 2019	1566295551	0	11	11	11
Tue Aug 20 12:05:47 2019	1566295547	0	11	11	11
Tue Aug 20 12:06:10 2019	1566295570	0	11	11	11
Tue Aug 20 12:06:11 2019	1566295571	0	11	11	11
Tue Aug 20 12:06:00 2019	1566295560	0	11	11	10
Tue Aug 20 12:05:49 2019	1566295549	0	11	11	11
Tue Aug 20 12:06:10 2019	1566295570	0	11	11	11
Tue Aug 20 12:06:07 2019	1566295567	0	11	11	10
Tue Aug 20 12:05:43 2019	1566295543	0	11	11	11
Tue Aug 20 12:05:57 2019	1566295557	0	11	11	10
Tue Aug 20 12:06:00 2019	1566295560	0	11	11	11
Tue Aug 20 12:05:55 2019	1566295555	0	11	11	11
Tue Aug 20 12:05:45 2019	1566295545	0	11	11	10
Tue Aug 20 12:06:04 2019	1566295564	0	11	11	10
Tue Aug 20 12:06:11 2019	1566295571	0	11	11	11
Tue Aug 20 12:06:03 2019	1566295563	0	11	11	10
Tue Aug 20 12:05:47 2019	1566295547	0	11	11	10
Tue Aug 20 12:06:12 2019	1566295572	0	11	11	11
Tue Aug 20 12:06:05 2019	1566295565	0	11	11	11
Tue Aug 20 12:05:43 2019	1566295543	0	11	11	11
Tue Aug 20 12:05:54 2019	1566295554	0	11	11	10
Tue Aug 20 12:05:57 2019	1566295557	0	11	11	10
Tue Aug 20 12:05:48 2019	1566295548	0	11	11	11
Tue Aug 20 12:06:06 2019	1566295566	0	11	11	10
Tue Aug 20 12:06:11 2019	1566295571	0	11	11	11
Tue Aug 20 12:06:12 2019	1566295572	0	11	11	11
Tue Aug 20 12:05:45 2019	1566295545	0	11	11	11
Tue Aug 20 12:06:10 2019	1566295570	0	11	11	10
Tue Aug 20 12:05:55 2019	1566295555	0	11	11	11
Tue Aug 20 12:06:04 2019	1566295564	0	11	11	11
Tue Aug 20 12:05:44 2019	1566295544	0	11	11	10
Tue Aug 20 12:06:08 2019	1566295568	0	11	11	10
Tue Aug 20 12:05:57 2019	1566295557	0	11	11	10
Tue Aug 20 12:05:54 2019	1566295554	0	11	11	11
Tue Aug 20 12:06:00 2019	1566295560	0	11	11	10
Tue Aug 20 12:05:59 2019	1566295559	0	11	11	10
Tue Aug 20 12:06:12 2019	1566295572	0	11	11	10
Tue Aug 20 12:06:01 2019	1566295561	0	11	11	10
Tue Aug 20 12:05:44 2019	1566295544	0	11	11	11
Tue Aug 20 12:06:02 2019	1566295562	0	11	11	11
Tue Aug 20 12:05:43 2019	1566295543	0	11	11	11
Tue Aug 20 12:06:12 2019	1566295572	0	11	11	11
Tue Aug 20 12:05:59 2019	1566295559	0	11	11	11
Tue Aug 20 12:05:54 2019	1566295554	0	11	11	11
Tue Aug 20 12:06:07 2019	1566295567	0	11	11	11
Tue Aug 20 12:06:04 2019	1566295564	0	11	11	11
Tue Aug 20 12:06:04 2019	1566295564	0	11	11	11
Tue Aug 20 12:05:59 2019	1566295559	0	11	11	10
Tue Aug 20 12:05:51 2019	1566295551	0	11	11	11
Tue Aug 20 12:05:52 2019	1566295552	0	11	11	11
Tue Aug 20 12:05:53 2019	1566295553	0	11	11	11
Tue Aug 20 12:06:01 2019	1566295561	0	11	11	11
Tue Aug 20 12:05:56 2019	1566295556	0	11	11	11
Tue Aug 20 12:05:46 2019	1566295546	0	11	11	11
Tue Aug 20 12:05:47 2019	1566295547	0	11	11	11
Tue Aug 20 12:06:11 2019	1566295571	0	11	11	10
Tue Aug 20 12:05:48 2019	1566295548	0	11	11	10
Tue Aug 20 12:06:10 2019	1566295570	0	11	11	11
Tue Aug 20 12:05:59 2019	1566295559	0	11	11	11
Tue Aug 20 12:06:00 2019	1566295560	0	11	11	11
Tue Aug 20 12:05:52 2019	1566295552	0	11	11	11
Tue Aug 20 12:05:45 2019	1566295545	0	11	11	10
Tue Aug 20 12:05:52 2019	1566295552	0	11	11	11
Tue Aug 20 12:05:55 2019	1566295555	0	11	11	11
Tue Aug 20 12:05:47 2019	1566295547	0	11	11	11
Tue Aug 20 12:05:57 2019	1566295557	0	11	11	10
Tue Aug 20 12:06:06 2019	1566295566	0	11	11	11
Tue Aug 20 12:06:10 2019	1566295570	0	11	11	11
Tue Aug 20 12:06:08 2019	1566295568	0	11	11	11
Tue Aug 20 12:06:02 2019	1566295562	0	11	11	10
Tue Aug 20 12:06:00 2019	1566295560	0	11	11	10
Tue Aug 20 12:06:07 2019	1566295567	0	11	11	11
Tue Aug 20 12:05:58 2019	1566295558	0	11	11	11
Tue Aug 20 12:06:11 2019	1566295571	0	11	11	11
Tue Aug 20 12:05:44 2019	1566295544	0	11	11	10
Tue Aug 20 12:05:51 2019	1566295551	0	11	11	11
Tue Aug 20 12:06:04 2019	1566295564	0	11	11	11
Tue Aug 20 12:05:59 2019	1566295559	0	11	11	10
Tue Aug 20 12:06:00 2019	1566295560	0	11	11	10
Tue Aug 20 12:05:47 2019	1566295547	0	11	11	11
Tue Aug 20 12:05:53 2019	1566295553	0	11	11	11
Tue Aug 20 12:06:06 2019	1566295566	0	11	11	11
Tue Aug 20 12:06:10 2019	1566295570	0	11	11	11
Tue Aug 20 12:06:01 2019	1566295561	0	11	11	11
Tue Aug 20 12:05:53 2019	1566295553	0	11	11	10
Tue Aug 20 12:05:47 2019	1566295547	0	11	11	10
Tue Aug 20 12:05:52 2019	1566295552	0	11	11	11
Tue Aug 20 12:06:02 2019	1566295562	0	11	11	11
Tue Aug 20 12:05:54 2019	1566295554	0	11	11	10
Tue Aug 20 12:05:49 2019	1566295549	0	11	11	11
Tue Aug 20 12:05:58 2019	1566295558	0	11	11	11
Tue Aug 20 12:05:49 2019	1566295549	0	11	11	11
Tue Aug 20 12:06:05 2019	1566295565	0	11	11	11
Tue Aug 20 12:06:09 2019	1566295569	0	11	11	10
Tue Aug 20 12:06:00 2019	1566295560	0	11	11	10
Tue Aug 20 12:05:51 2019	1566295551	0	11	11	10
Tue Aug 20 12:05:53 2019	1566295553	0	11	11	11
Tue Aug 20 12:05:44 2019	1566295544	0	11	11	11
Tue Aug 20 12:06:03 2019	1566295563	0	11	11	11
Tue Aug 20 12:05:55 2019	1566295555	0	11	11	11
Tue Aug 20 12:06:07 2019	1566295567	0	11	11	11
Tue Aug 20 12:05:46 2019	1566295546	0	11	11	11
Tue Aug 20 12:05:51 2019	1566295551	0	11	11	11
Tue Aug 20 12:05:46 2019	1566295546	0	11	11	11
Tue Aug 20 12:06:01 2019	1566295561	0	11	11	11
Tue Aug 20 12:06:04 2019	1566295564	0	11	11	10
Tue Aug 20 12:06:07 2019	1566295567	0	11	11	10
Tue Aug 20 12:06:11 2019	1566295571	0	11	11	10
Tue Aug 20 12:06:10 2019	1566295570	0	11	11	11
Tue Aug 20 12:06:03 2019	1566295563	0	11	11	11
Tue Aug 20 12:06:02 2019	1566295562	0	11	11	11
Tue Aug 20 12:06:09 2019	1566295569	0	11	11	11
Tue Aug 20 12:05:57 2019	1566295557	0	11	11	10
Tue Aug 20 12:05:51 2019	1566295551	0	11	11	11
Tue Aug 20 12:06:02 2019	1566295562	0	11	11	11
Tue Aug 20 12:05:56 2019	1566295556	0	11	11	11
Tue Aug 20 12:06:09 2019	1566295569	0	11	11	11
Tue Aug 20 12:06:10 2019	1566295570	0	11	11	10
Tue Aug 20 12:05:54 2019	1566295554	0	11	11	10
Tue Aug 20 12:05:43 2019	1566295543	0	11	11	11
Tue Aug 20 12:06:10 2019	1566295570	0	11	11	11
Tue Aug 20 12:05:50 2019	1566295550	0	11	11	11
Tue Aug 20 12:06:08 2019	1566295568	0	11	11	11
Tue Aug 20 12:05:50 2019	1566295550	0	11	11	11
Tue Aug 20 12:06:12 2019	1566295572	0	11	11	10
Tue Aug 20 12:05:55 2019	1566295555	0	11	11	10
Tue Aug 20 12:06:04 2019	1566295564	0	11	11	11
Tue Aug 20 12:06:11 2019	1566295571	0	11	11	11
Tue Aug 20 12:05:51 2019	1566295551	0	11	11	10
Tue Aug 20 12:05:52 2019	1566295552	0	11	11	11
Tue Aug 20 12:05:53 2019	1566295553	0	11	11	11
Tue Aug 20 12:06:01 2019	1566295561	0	11	11	11
Tue Aug 20 12:06:01 2019	1566295561	0	11	11	11
Tue Aug 20 12:05:47 2019	1566295547	0	11	11	11
Tue Aug 20 12:05:57 2019	1566295557	0	11	11	11
Tue Aug 20 12:05:44 2019	1566295544	0	11	11	11
Tue Aug 20 12:06:10 2019	1566295570	0	11	11	11
Tue Aug 20 12:06:02 2019	1566295562	0	11	11	11
Tue Aug 20 12:05:48 2019	1566295548	0	11	11	11
Tue Aug 20 12:06:08 2019	1566295568	0	11	11	11
Tue Aug 20 12:05:55 2019	1566295555	0	11	11	11
Tue Aug 20 12:05:56 2019	1566295556	0	11	11	11
Tue Aug 20 12:05:57 2019	1566295557	0	11	11	11
Tue Aug 20 12:05:56 2019	1566295556	0	11	11	11
Tue Aug 20 12:06:07 2019	1566295567	0	11	11	11
Tue Aug 20 12:05:49 2019	1566295549	0	11	11	11
Tue Aug 20 12:06:09 2019	1566295569	0	11	11	10
Tue Aug 20 12:05:49 2019	1566295549	0	11	11	11
Tue Aug 20 12:06:08 2019	1566295568	0	11	11	11
Tue Aug 20 12:05:47 2019	1566295547	0	11	11	11
Tue Aug 20 12:05:54 2019	1566295554	0	11	11	11
Tue Aug 20 12:06:05 2019	1566295565	0	11	11	11
Tue Aug 20 12:06:06 2019	1566295566	0	11	11	10
Tue Aug 20 12:06:12 2019	1566295572	0	11	11	10
Tue Aug 20 12:05:49 2019	1566295549	0	11	11	11
Tue Aug 20 12:05:54 2019	1566295554	0	11	11	11
Tue Aug 20 12:06:03 2019	1566295563	0	11	11	11
Tue Aug 20 12:06:03 2019	1566295563	0	11	11	11
Tue Aug 20 12:06:04 2019	1566295564	0	11	11	11
Tue Aug 20 12:06:02 2019	1566295562	0	11	11	10
Tue Aug 20 12:06:07 2019	1566295567	0	11	11	11
Tue Aug 20 12:06:04 2019	1566295564	0	11	11	11
Tue Aug 20 12:05:56 2019	1566295556	0	11	11	11
Tue Aug 20 12:05:49 2019	1566295549	0	11	11	10
Tue Aug 20 12:06:05 2019	1566295565	0	11	11	11
Tue Aug 20 12:05:52 2019	1566295552	0	11	11	11
Tue Aug 20 12:05:51 2019	1566295551	0	11	11	11
Tue Aug 20 12:05:49 2019	1566295549	0	11	11	10
Tue Aug 20 12:06:09 2019	1566295569	0	11	11	10
Tue Aug 20 12:05:56 2019	1566295556	0	11	11	11
Tue Aug 20 12:05:43 2019	1566295543	0	11	11	11
Tue Aug 20 12:06:08 2019	1566295568	0	11	11	10
Tue Aug 20 12:06:04 2019	1566295564	0	11	11	11
Tue Aug 20 12:05:45 2019	1566295545	0	11	11	11
Tue Aug 20 12:06:05 2019	1566295565	0	11	11	10
Tue Aug 20 12:05:57 2019	1566295557	0	11	11	11
Tue Aug 20 12:05:49 2019	1566295549	0	11	11	11
Tue Aug 20 12:06:07 2019	1566295567	0	11	11	11
Tue Aug 20 12:05:45 2019	1566295545	0	11	11	11
Tue Aug 20 12:05:51 2019	1566295551	0	11	11	11
Tue Aug 20 12:06:06 2019	1566295566	0	11	11	10
Tue Aug 20 12:05:44 2019	1566295544	0	11	11	10
Tue Aug 20 12:06:03 2019	1566295563	0	11	11	11
Tue Aug 20 12:05:45 2019	1566295545	0	11	11	11
Tue Aug 20 12:05:55 2019	1566295555	0	11	11	11
Tue Aug 20 12:05:43 2019	1566295543	0	11	11	10
Tue Aug 20 12:05:50 2019	1566295550	0	11	11	11
Tue Aug 20 12:05:48 2019	1566295548	0	11	11	11
Tue Aug 20 12:06:06 2019	1566295566	0	11	11	11
Tue Aug 20 12:05:45 2019	1566295545	0	11	11	11
Tue Aug 20 12:05:57 2019	1566295557	0	11	11	11
Tue Aug 20 12:05:53 2019	1566295553	0	11	11	11
Tue Aug 20 12:06:08 2019	1566295568	0	11	11	10
Tue Aug 20 12:05:59 2019	1566295559	0	11	11	11
Tue Aug 20 12:06:06 2019	1566295566	0	11	11	11
Tue Aug 20 12:06:03 2019	1566295563	0	11	11	10
Tue Aug 20 12:05:43 2019	1566295543	0	11	11	11
Tue Aug 20 12:05:51 2019	1566295551	0	11	11	11
Tue Aug 20 12:05:57 2019	1566295557	0	11	11	11
Tue Aug 20 12:05:43 2019	1566295543	0	11	11	11
Tue Aug 20 12:05:43 2019	1566295543	0	11	11	10
Tue Aug 20 12:05:45 2019	1566295545	0	11	11	10
Tue Aug 20 12:06:04 2019	1566295564	0	11	11	11
Tue Aug 20 12:05:50 2019	1566295550	0	11	11	11
Tue Aug 20 12:06:03 2019	1566295563	0	11	11	10
Tue Aug 20 12:06:02 2019	1566295562	0	11	11	11
Tue Aug 20 12:06:09 2019	1566295569	0	11	11	11
Tue Aug 20 12:06:00 2019	1566295560	0	11	11	11
Tue Aug 20 12:05:48 2019	1566295548	0	11	11	10
Tue Aug 20 12:05:44 2019	1566295544	0	11	11	11
Tue Aug 20 12:05:53 2019	1566295553	0	11	11	11
Tue Aug 20 12:05:51 2019	1566295551	0	11	11	11
Tue Aug 20 12:06:09 2019	1566295569	0	11	11	11
Tue Aug 20 12:05:56 2019	1566295556	0	11	11	11
Tue Aug 20 12:06:11 2019	1566295571	0	11	11	11
Tue Aug 20 12:05:43 2019	1566295543	0	11	11	10
Tue Aug 20 12:05:50 2019	1566295550	0	11	11	11
Tue Aug 20 12:05:44 2019	1566295544	0	11	11	11
Tue Aug 20 12:05:44 2019	1566295544	0	11	11	11
Tue Aug 20 12:06:08 2019	1566295568	0	11	11	11
Tue Aug 20 12:05:55 2019	1566295555	0	11	11	11
Tue Aug 20 12:05:54 2019	1566295554	0	11	11	11
Tue Aug 20 12:06:04 2019	1566295564	0	11	11	11
Tue Aug 20 12:05:45 2019	1566295545	0	11	11	11
Tue Aug 20 12:05:49 2019	1566295549	0	11	11	11
Tue Aug 20 12:05:52 2019	1566295552	0	11	11	11
Tue Aug 20 12:05:49 2019	1566295549	0	11	11	11
Tue Aug 20 12:05:50 2019	1566295550	0	11	11	10
Tue Aug 20 12:05:56 2019	1566295556	0	11	11	11
Tue Aug 20 12:05:45 2019	1566295545	0	11	11	11
Tue Aug 20 12:06:00 2019	1566295560	0	11	11	11
Tue Aug 20 12:05:51 2019	1566295551	0	11	11	11
Tue Aug 20 12:05:47 2019	1566295547	0	11	11	11
Tue Aug 20 12:05:51 2019	1566295551	0	11	11	10
Tue Aug 20 12:05:55 2019	1566295555	0	11	11	11
Tue Aug 20 12:05:54 2019	1566295554	0	11	11	11
Tue Aug 20 12:05:46 2019	1566295546	0	11	11	11
Tue Aug 20 12:05:54 2019	1566295554	0	11	11	11
Tue Aug 20 12:06:01 2019	1566295561	0	11	11	11
Tue Aug 20 12:05:58 2019	1566295558	0	11	11	11
Tue Aug 20 12:05:55 2019	1566295555	0	11	11	11
Tue Aug 20 12:05:47 2019	1566295547	0	11	11	11
Tue Aug 20 12:06:02 2019	1566295562	0	11	11	10
Tue Aug 20 12:05:58 2019	1566295558	0	11	11	11
Tue Aug 20 12:06:00 2019	1566295560	0	11	11	11
Tue Aug 20 12:06:00 2019	1566295560	0	11	11	11
Tue Aug 20 12:05:53 2019	1566295553	0	11	11	11
Tue Aug 20 12:05:43 2019	1566295543	0	11	11	11
Tue Aug 20 12:06:03 2019	1566295563	0	11	11	11
Tue Aug 20 12:06:11 2019	1566295571	0	11	11	11
Tue Aug 20 12:06:08 2019	1566295568	0	11	11	11
Tue Aug 20 12:05:53 2019	1566295553	0	11	11	11
Tue Aug 20 12:06:10 2019	1566295570	0	11	11	11
Tue Aug 20 12:05:55 2019	1566295555	0	11	11	11
Tue Aug 20 12:05:43 2019	1566295543	0	11	11	11
Tue Aug 20 12:05:46 2019	1566295546	0	11	11	11
Tue Aug 20 12:05:43 2019	1566295543	0	11	11	10
Tue Aug 20 12:05:56 2019	1566295556	0	11	11	10
Tue Aug 20 12:05:43 2019	1566295543	0	11	11	11
Tue Aug 20 12:06:09 2019	1566295569	0	11	11	11
Tue Aug 20 12:05:43 2019	1566295543	0	11	11	11
Tue Aug 20 12:06:00 2019	1566295560	0	11	11	11
Tue Aug 20 12:06:00 2019	1566295560	0	11	11	11
Tue Aug 20 12:05:58 2019	1566295558	0	11	11	11
Tue Aug 20 12:05:44 2019	1566295544	0	11	11	11
Tue Aug 20 12:05:51 2019	1566295551	0	11	11	11
Tue Aug 20 12:05:50 2019	1566295550	0	11	11	11
Tue Aug 20 12:05:56 2019	1566295556	0	11	11	11
Tue Aug 20 12:05:43 2019	1566295543	0	11	11	11
Tue Aug 20 12:06:08 2019	1566295568	0	11	11	11
Tue Aug 20 12:06:01 2019	1566295561	0	11	11	11
Tue Aug 20 12:05:45 2019	1566295545	0	11	11	11
Tue Aug 20 12:05:44 2019	1566295544	0	11	11	11
Tue Aug 20 12:05:44 2019	1566295544	0	11	11	10
Tue Aug 20 12:05:49 2019	1566295549	0	11	11	11
Tue Aug 20 12:05:42 2019	1566295542	0	11	11	11
Tue Aug 20 12:05:52 2019	1566295552	0	11	11	10
Tue Aug 20 12:05:53 2019	1566295553	0	11	11	11
Tue Aug 20 12:05:58 2019	1566295558	0	11	11	11
Tue Aug 20 12:06:04 2019	1566295564	0	11	11	11
Tue Aug 20 12:05:58 2019	1566295558	0	11	11	11
Tue Aug 20 12:05:54 2019	1566295554	0	11	11	11
Tue Aug 20 12:06:12 2019	1566295572	0	11	11	10
Tue Aug 20 12:06:05 2019	1566295565	0	11	11	11
Tue Aug 20 12:05:55 2019	1566295555	0	11	11	11
Tue Aug 20 12:06:10 2019	1566295570	0	11	11	11
Tue Aug 20 12:05:50 2019	1566295550	0	11	11	11
Tue Aug 20 12:05:56 2019	1566295556	0	11	11	11
Tue Aug 20 12:06:10 2019	1566295570	0	11	11	11
Tue Aug 20 12:06:08 2019	1566295568	0	11	11	11
Tue Aug 20 12:05:52 2019	1566295552	0	11	11	11
Tue Aug 20 12:06:01 2019	1566295561	0	11	11	11
Tue Aug 20 12:05:44 2019	1566295544	0	11	11	11
Tue Aug 20 12:05:54 2019	1566295554	0	11	11	11
Tue Aug 20 12:05:48 2019	1566295548	0	11	11	11
Tue Aug 20 12:05:58 2019	1566295558	0	11	11	11
Tue Aug 20 12:05:57 2019	1566295557	0	11	11	11
Tue Aug 20 12:05:59 2019	1566295559	0	11	11	10
Tue Aug 20 12:06:02 2019	1566295562	0	11	11	11
Tue Aug 20 12:05:46 2019	1566295546	0	11	11	11
Tue Aug 20 12:06:10 2019	1566295570	0	11	11	11
Tue Aug 20 12:06:06 2019	1566295566	0	11	11	11
Tue Aug 20 12:05:57 2019	1566295557	0	11	11	11
Tue Aug 20 12:06:08 2019	1566295568	0	11	11	11
Tue Aug 20 12:05:43 2019	1566295543	0	11	11	11
Tue Aug 20 12:05:52 2019	1566295552	0	11	11	11
